arr_teff_coolstar,arr_t0roche_coolstar_Earth,arr_t0roche_coolstar_Earth_lower,arr_t0roche_coolstar_Earth_upper,arr_t0roche_coolstar_SuperEarth,arr_t0roche_coolstar_SuperEarth_lower,arr_t0roche_coolstar_SuperEarth_upper
4.341282565130260991e+03,2.984383407506355979e+03,2.967369587226977728e+03,3.008087968807319612e+03,3.105478422488627530e+03,3.087774245596069250e+03,3.130144825421155474e+03
4.347094188376753664e+03,2.990954244576993915e+03,2.973939515347676206e+03,3.014595666884242291e+03,3.112315879327863058e+03,3.094610756603607115e+03,3.136916581324610434e+03
4.352905811623246336e+03,2.997521965008331335e+03,2.980505825369642480e+03,3.021100563961236730e+03,3.119150093066338286e+03,3.101443502703622016e+03,3.143685422574131735e+03
4.358717434869739009e+03,3.004086522604391575e+03,2.987068474386299386e+03,3.027602620119123458e+03,3.125981015633617062e+03,3.108272439248548835e+03,3.150451307630769406e+03
4.364529058116232591e+03,3.010647871069263601e+03,2.993627419367041966e+03,3.034101795343127378e+03,3.132808598855276159e+03,3.115097521461764700e+03,3.157214194856101130e+03
4.370340681362725263e+03,3.017205964005986061e+03,3.000182617156380275e+03,3.040598049522119709e+03,3.139632794451740665e+03,3.121918704436690405e+03,3.163974042511440075e+03
4.376152304609218845e+03,3.023760754915469988e+03,3.006734024473119916e+03,3.047091342447889474e+03,3.146453554037163940e+03,3.128735943135945945e+03,3.170730808757076375e+03
4.381963927855711518e+03,3.030312197195362387e+03,3.013281597909506218e+03,3.053581633814372708e+03,3.153270829118245274e+03,3.135549192390453754e+03,3.177484451651478594e+03
4.387775551102204190e+03,3.036860244138965299e+03,3.019825293930380667e+03,3.060068883216909853e+03,3.160084571093105296e+03,3.142358406898561952e+03,3.184234929150518838e+03
4.393587174348696863e+03,3.043404848934125312e+03,3.026365068872322354e+03,3.066553050151492243e+03,3.166894731250130008e+03,3.149163541225153494e+03,3.190982199106688768e+03
4.399398797595190445e+03,3.049945964662103961e+03,3.032900878942793042e+03,3.073034094013987215e+03,3.173701260766795258e+03,3.155964549800754412e+03,3.197726219268293335e+03
4.405210420841683117e+03,3.056483544296480886e+03,3.039432680219260874e+03,3.079511974099386407e+03,3.180504110708526696e+03,3.162761386920621590e+03,3.204466947278668613e+03
4.411022044088176699e+03,3.063017540702027873e+03,3.045960428648346351e+03,3.085986649601036788e+03,3.187303232027526519e+03,3.169554006743856007e+03,3.211204340675380990e+03
4.416833667334669371e+03,3.069547906633588809e+03,3.052484080044916936e+03,3.092458079609853030e+03,3.194098575561607049e+03,3.176342363292458685e+03,3.217938356889408624e+03
4.422645290581162044e+03,3.076074594734956008e+03,3.059003590091227579e+03,3.098926223113564447e+03,3.200890092033027031e+03,3.183126410450438925e+03,3.224668953244358818e+03
4.428456913827655626e+03,3.082597557537750163e+03,3.065518914336023954e+03,3.105391038995925101e+03,3.207677732047316567e+03,3.189906101962876164e+03,3.231396086955643113e+03
4.434268537074148298e+03,3.089116747460276656e+03,3.072030008193636604e+03,3.111852486035922539e+03,3.214461446092097503e+03,3.196681391434985471e+03,3.238119715129655106e+03
4.440080160320640971e+03,3.095632116806407794e+03,3.078536826943090091e+03,3.118310522907004270e+03,3.221241184535911088e+03,3.203452232331180767e+03,3.244839794762968268e+03
4.445891783567134553e+03,3.102143617764425926e+03,3.085039325727189407e+03,3.124765108176281501e+03,3.228016897627023354e+03,3.210218577974132586e+03,3.251556282741502400e+03
4.451703406813627225e+03,3.108651202405897493e+03,3.091537459551597749e+03,3.131216200303723781e+03,3.234788535492245046e+03,3.216980381543804469e+03,3.258269135839690080e+03
4.457515030060119898e+03,3.115154822684524333e+03,3.098031183283932478e+03,3.137663757641375469e+03,3.241556048135740639e+03,3.223737596076509362e+03,3.264978310719659021e+03
4.463326653306613480e+03,3.121654430434988626e+03,3.104520451652816973e+03,3.144107738432541282e+03,3.248319385437823712e+03,3.230490174463932362e+03,3.271683763930382156e+03
4.469138276553106152e+03,3.128149977371800105e+03,3.111005219246954766e+03,3.150548100810975939e+03,3.255078497153762783e+03,3.237238069452155287e+03,3.278385451906843628e+03
